timestamp,event_type,side,price,quantity_change
1767731499141372,orderbook_update,no,39,-100
1767731499141372,orderbook_update,no,37,100
1767731499148127,orderbook_update,yes,53,30
1767731499148127,orderbook_update,yes,54,-100
1767731499148127,orderbook_update,yes,56,100
1767731499148199,orderbook_update,no,34,-400
1767731499149402,orderbook_update,no,34,-500
1767731499149619,orderbook_update,no,40,30
1767731499150459,orderbook_update,yes,40,-500
1767731499150534,orderbook_update,yes,40,-400
1767731499157663,orderbook_update,yes,30,-50
1767731499157663,orderbook_update,yes,40,50
1767731499161995,orderbook_update,yes,53,-194
1767731499177131,orderbook_update,yes,2,2000
1767731499191803,orderbook_update,no,37,-100
1767731499191803,orderbook_update,no,35,100
1767731499208340,orderbook_update,no,40,200
1767731499210685,orderbook_update,yes,40,-1000
1767731499211125,orderbook_update,yes,57,200
1767731499211792,orderbook_update,no,39,200
1767731499212244,orderbook_update,no,40,200
1767731499223437,orderbook_update,yes,57,21
1767731499224552,orderbook_update,no,38,46
1767731499232830,orderbook_update,yes,56,-33
1767731499234084,orderbook_update,no,39,-33
1767731499258732,orderbook_update,yes,2,1000
1767731499259651,orderbook_update,yes,41,400
1767731499261176,orderbook_update,yes,2,500
1767731499264191,orderbook_update,no,35,400
1767731499267200,orderbook_update,yes,40,-20
1767731499272110,orderbook_update,no,35,-20
1767731499277786,orderbook_update,yes,56,-100
1767731499277786,orderbook_update,yes,58,100
1767731499279439,orderbook_update,no,3,20
1767731499281905,orderbook_update,yes,57,-200
1767731499332863,orderbook_update,yes,58,200
1767731499337815,orderbook_update,yes,58,-100
1767731499337815,orderbook_update,yes,59,100
1767731499357703,orderbook_update,yes,57,-21
1767731499357829,orderbook_update,yes,58,22
1767731499358671,orderbook_update,no,38,-46
1767731499359564,orderbook_update,no,37,45
1767731499391124,orderbook_update,no,3,-20
1767731499800316,orderbook_update,yes,59,-4
1767731500000000,trade,yes,60,-1
1767731500002383,orderbook_update,yes,58,-200
1767731500002421,orderbook_update,no,40,-200
1767731500004829,orderbook_update,no,40,-200
1767731500005673,orderbook_update,no,35,-400
1767731500044877,orderbook_update,yes,2,1000
1767731500054539,orderbook_update,no,39,-200
1767731500056296,orderbook_update,yes,59,200
1767731500094885,orderbook_update,no,36,200
1767731500094894,orderbook_update,no,35,200
1767731500096924,orderbook_update,no,36,200
1767731500108121,orderbook_update,yes,53,-30
1767731500109108,orderbook_update,no,40,-30
1767731500112310,orderbook_update,no,11,400
1767731500128304,orderbook_update,yes,58,30
1767731500129683,orderbook_update,no,35,30
1767731500142965,orderbook_update,yes,59,-96
1767731500143899,orderbook_update,no,35,-100
1767731500152740,orderbook_update,no,10,-50
1767731500159291,orderbook_update,yes,59,-200
1767731500180684,orderbook_update,yes,58,-22
1767731500180964,orderbook_update,yes,57,41
1767731500181591,orderbook_update,no,37,-45
1767731500182377,orderbook_update,no,38,25
1767731500185114,orderbook_update,yes,42,20
1767731500192120,orderbook_update,no,36,20
1767731500208359,orderbook_update,yes,59,200
1767731500211829,orderbook_update,no,11,-400
1767731500213910,orderbook_update,no,2,-15000
1767731500237098,orderbook_update,yes,42,-20
1767731500268875,orderbook_update,yes,41,20
1767731500290609,orderbook_update,yes,3,20
1767731500297731,orderbook_update,yes,41,20
1767731500341646,orderbook_update,yes,3,-20
1767731500372167,orderbook_update,yes,41,-20
1767731500678883,orderbook_update,no,33,100
1767731500680765,orderbook_update,yes,59,100
1767731500736350,orderbook_update,yes,59,-200
1767731500789139,orderbook_update,no,40,-1
1767731500789139,orderbook_update,yes,60,199
1767731500836336,orderbook_update,no,35,-200
1767731500841105,orderbook_update,no,36,-200
1767731500845369,orderbook_update,yes,59,-100
1767731500845369,orderbook_update,yes,61,100
