timestamp,yes_price,no_price
1767778320547222,38.0,58.0
1767778321132875,38.0,57.0
1767778322950929,38.0,58.0
1767778324364643,38.0,59.0
1767778325434200,38.0,58.0
1767778325569996,41.0,58.0
1767778326600704,38.0,58.0
1767778330380618,39.0,58.0
1767778330393534,38.0,58.0
1767778330411548,41.0,58.0
1767778331216637,41.0,55.0
1767778331349695,41.0,54.0
1767778331550089,43.0,54.0
1767778332975941,43.0,55.0
1767778335136236,44.0,55.0
1767778335493471,44.0,54.0
1767778335493471,44.0,52.0
1767778335493471,47.0,52.0
1767778336342924,47.0,49.0
1767778336585363,47.0,52.0
1767778336907033,47.0,49.0
1767778336907033,47.0,50.0
1767778337004088,48.0,50.0
1767778337443493,48.0,51.0
1767778337953924,44.0,51.0
1767778338287697,48.0,51.0
1767778338480577,44.0,51.0
1767778338480577,44.0,52.0
1767778338493045,44.0,51.0
1767778338584366,44.0,53.0
1767778338597363,44.0,51.0
1767778338618257,44.0,54.0
1767778339114797,42.0,54.0
1767778339144753,42.0,57.0
1767778339422097,42.0,56.0
1767778340497283,42.0,57.0
1767778347597597,37.0,57.0
1767778347616393,37.0,62.0
1767778347626130,37.0,57.0
1767778347635603,37.0,61.0
1767778347649115,37.0,57.0
1767778347654757,36.0,57.0
1767778347687683,36.0,63.0
1767778347708867,36.0,57.0
1767778347709759,36.0,62.0
1767778347767110,30.0,62.0
1767778347767110,30.0,65.0
1767778347787390,23.0,65.0
1767778347804579,31.0,65.0
1767778347843590,32.0,65.0
1767778347852986,32.0,63.0
1767778347937924,33.0,63.0
1767778348034987,34.0,63.0
1767778348540960,35.0,63.0
1767778348554518,35.0,61.0
1767778348555626,35.0,62.0
1767778348901096,35.0,64.0
1767778348940287,34.0,64.0
1767778349158726,35.0,64.0
1767778349551295,34.0,64.0
1767778350582222,34.0,62.0
1767778350582222,36.0,62.0
1767778350713820,36.0,63.0
1767778350976570,34.0,63.0
1767778352082779,34.0,65.0
1767778353308911,34.0,64.0
1767778353308911,35.0,64.0
1767778353696922,34.0,64.0
1767778353933031,35.0,64.0
1767778354375123,34.0,64.0
1767778358981559,33.0,64.0
1767778358993221,31.0,64.0
1767778359008276,32.0,64.0
1767778360859593,31.0,64.0
1767778360948935,31.0,65.0
1767778361396348,32.0,65.0
1767778361492469,33.0,65.0
1767778361924360,33.0,66.0
1767778362945599,28.0,66.0
1767778362946598,32.0,66.0
1767778363215739,32.0,65.0
1767778364906195,32.0,66.0
1767778367706288,32.0,65.0
1767778368946053,31.0,65.0
1767778369937649,31.0,66.0
1767778375339340,30.0,66.0
1767778380996059,31.0,66.0
1767778388505318,30.0,66.0
1767778388953095,30.0,69.0
1767778390344235,30.0,66.0
1767778390344235,30.0,65.0
1767778390933812,31.0,65.0
1767778391674747,31.0,66.0
1767778392674523,30.0,66.0
1767778401604200,30.0,65.0
1767778404849452,32.0,65.0
1767778408556248,32.0,66.0
1767778409609178,32.0,67.0
1767778410444577,28.0,67.0
1767778410445423,31.0,67.0
1767778411921445,30.0,67.0
1767778412073206,30.0,68.0
1767778412341200,26.0,68.0
1767778412359768,31.0,68.0
1767778412472313,31.0,67.0
1767778413167660,31.0,64.0
1767778414131759,34.0,64.0
1767778414166768,31.0,64.0
1767778414529930,26.0,64.0
1767778414531390,33.0,64.0
1767778414659304,33.0,65.0
1767778417013838,30.0,65.0
1767778417015444,32.0,65.0
1767778417060909,32.0,67.0
1767778421198750,32.0,65.0
1767778421534628,32.0,64.0
1767778423594690,32.0,65.0
1767778427754053,30.0,65.0
1767778427812297,30.0,66.0
1767778427956956,30.0,65.0
1767778427958666,30.0,69.0
1767778428158908,27.0,69.0
1767778428158908,28.0,69.0
1767778429525686,29.0,69.0
