timestamp_us,yes_volume,yes_slippage,yes_bid,yes_ask,yes_spread,no_volume,no_slippage,no_bid,no_ask,no_spread,bid_sum_discrepancy,ask_sum_discrepancy
1767724273553077,123.25,8.6900,0.2800,0.3300,0.0500,49.06,4.8200,0.6700,0.7200,0.0500,0.050000,-0.050000
1767724274446930,123.25,8.6900,0.2800,0.3500,0.0700,49.06,4.8200,0.6500,0.7200,0.0700,0.070000,-0.070000
1767724274447199,123.25,8.6900,0.2900,0.3500,0.0600,49.06,4.8200,0.6500,0.7100,0.0600,0.060000,-0.060000
1767724274448575,123.25,8.6900,0.2900,0.3400,0.0500,49.06,4.8200,0.6600,0.7100,0.0500,0.050000,-0.050000
1767724277689220,123.25,8.6900,0.2900,0.3300,0.0400,49.06,4.8200,0.6700,0.7100,0.0400,0.040000,-0.040000
1767724279949209,123.25,8.6900,0.3000,0.3300,0.0300,49.06,4.8200,0.6700,0.7000,0.0300,0.030000,-0.030000
1767724283257081,123.25,8.6900,0.3100,0.3300,0.0200,49.06,4.8200,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724283508799,123.25,8.6900,0.3100,0.3400,0.0300,49.06,4.8200,0.6600,0.6900,0.0300,0.030000,-0.030000
1767724288492737,123.25,8.6900,0.3100,0.3500,0.0400,49.06,4.8200,0.6500,0.6900,0.0400,0.040000,-0.040000
1767724288527876,123.25,8.6900,0.3200,0.3500,0.0300,49.06,4.8200,0.6500,0.6800,0.0300,0.030000,-0.030000
1767724292000000,126.75,8.9900,0.3200,0.3600,0.0400,49.06,4.8200,0.6400,0.6800,0.0400,0.040000,-0.040000
1767724292485292,126.75,8.9900,0.3500,0.3600,0.0100,49.06,4.8200,0.6400,0.6500,0.0100,0.010000,-0.010000
1767724298188764,130.35,9.0900,0.3200,0.3600,0.0400,118.21,8.0500,0.6400,0.6800,0.0400,0.040000,-0.040000
1767724298286001,130.35,9.0900,0.3100,0.3600,0.0500,118.21,8.0500,0.6400,0.6900,0.0500,0.050000,-0.050000
1767724298343647,130.35,9.0900,0.3000,0.3600,0.0600,118.21,8.0500,0.6400,0.7000,0.0600,0.060000,-0.060000
1767724298361414,130.35,9.0900,0.3100,0.3600,0.0500,118.21,8.0500,0.6400,0.6900,0.0500,0.050000,-0.050000
1767724298386826,130.35,9.0900,0.3000,0.3600,0.0600,118.21,8.0500,0.6400,0.7000,0.0600,0.060000,-0.060000
1767724298487649,130.35,9.0900,0.3000,0.3400,0.0400,118.21,8.0500,0.6600,0.7000,0.0400,0.040000,-0.040000
1767724298646805,130.35,9.0900,0.3000,0.3300,0.0300,118.21,8.0500,0.6700,0.7000,0.0300,0.030000,-0.030000
1767724298664689,130.35,9.0900,0.3100,0.3300,0.0200,118.21,8.0500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724298758236,130.35,9.0900,0.3200,0.3300,0.0100,118.21,8.0500,0.6700,0.6800,0.0100,0.010000,-0.010000
1767724299149381,142.43,9.6500,0.3100,0.3300,0.0200,118.21,8.0500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724299211669,142.43,9.6500,0.3100,0.3600,0.0500,118.21,8.0500,0.6400,0.6900,0.0500,0.050000,-0.050000
1767724299275372,142.43,9.6500,0.3100,0.3500,0.0400,118.21,8.0500,0.6500,0.6900,0.0400,0.040000,-0.040000
1767724303792723,143.13,9.7300,0.3000,0.3500,0.0500,118.21,8.0500,0.6500,0.7000,0.0500,0.050000,-0.050000
1767724303792723,143.13,9.7300,0.3200,0.3500,0.0300,118.21,8.0500,0.6500,0.6800,0.0300,0.030000,-0.030000
1767724305642090,143.13,9.7300,0.3000,0.3500,0.0500,118.21,8.0500,0.6500,0.7000,0.0500,0.050000,-0.050000
1767724306267724,143.13,9.7300,0.3100,0.3500,0.0400,118.21,8.0500,0.6500,0.6900,0.0400,0.040000,-0.040000
1767724308093656,143.13,9.7300,0.3100,0.3400,0.0300,118.21,8.0500,0.6600,0.6900,0.0300,0.030000,-0.030000
1767724308182058,143.13,9.7300,0.3100,0.3300,0.0200,118.21,8.0500,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724315806112,146.43,9.9300,0.3100,0.3400,0.0300,118.21,8.0500,0.6600,0.6900,0.0300,0.030000,-0.030000
1767724315960356,146.43,9.9300,0.3100,0.3500,0.0400,118.21,8.0500,0.6500,0.6900,0.0400,0.040000,-0.040000
1767724315962387,146.43,9.9300,0.3100,0.3400,0.0300,118.21,8.0500,0.6600,0.6900,0.0300,0.030000,-0.030000
1767724315995747,146.43,9.9300,0.3200,0.3400,0.0200,118.21,8.0500,0.6600,0.6800,0.0200,0.020000,-0.020000
1767724316099105,152.72,10.7800,0.3200,0.3700,0.0500,118.21,8.0500,0.6300,0.6800,0.0500,0.050000,-0.050000
