timestamp,yes_bid,no_bid,yes_ask,no_ask
1767731812962969,77.0,19.0,81.0,23.0
1767731812999070,78.0,19.0,81.0,22.0
1767731813454946,77.0,19.0,81.0,23.0
1767731813750111,78.0,19.0,81.0,22.0
1767731813811011,78.0,20.0,80.0,22.0
1767731813824728,79.0,20.0,80.0,21.0
1767731813864949,78.0,20.0,80.0,22.0
1767731816655980,78.0,19.0,81.0,22.0
1767731816818660,79.0,19.0,81.0,21.0
1767731817198471,80.0,19.0,81.0,20.0
1767731817308364,80.0,16.0,84.0,20.0
1767731817326555,80.0,18.0,82.0,20.0
1767731818316706,77.0,18.0,82.0,23.0
1767731818316706,79.0,18.0,82.0,21.0
1767731818364626,77.0,18.0,82.0,23.0
1767731818415605,77.0,19.0,81.0,23.0
1767731818430281,79.0,19.0,81.0,21.0
1767731818473662,77.0,19.0,81.0,23.0
1767731818477117,77.0,20.0,80.0,23.0
1767731818522827,78.0,20.0,80.0,22.0
1767731823590400,78.0,21.0,79.0,22.0
1767731825175671,78.0,20.0,80.0,22.0
1767731826886582,78.0,21.0,79.0,22.0
1767731833712046,78.0,20.0,80.0,22.0
1767731833773114,78.0,21.0,79.0,22.0
1767731837230219,78.0,20.0,80.0,22.0
1767731837232934,79.0,20.0,80.0,21.0
1767731837325230,79.0,19.0,81.0,21.0
1767731837449582,80.0,19.0,81.0,20.0
1767731837452837,80.0,16.0,84.0,20.0
1767731837458470,80.0,18.0,82.0,20.0
1767731837562729,81.0,18.0,82.0,19.0
1767731840036430,81.0,17.0,83.0,19.0
1767731840103485,81.0,16.0,84.0,19.0
1767731840137022,82.0,16.0,84.0,18.0
1767731841271507,83.0,16.0,84.0,17.0
1767731843824098,82.0,16.0,84.0,18.0
1767731845530794,83.0,16.0,84.0,17.0
1767731846215295,83.0,15.0,85.0,17.0
1767731846317166,84.0,15.0,85.0,16.0
1767731848232074,83.0,15.0,85.0,17.0
1767731848335263,83.0,16.0,84.0,17.0
1767731849503311,83.0,15.0,85.0,17.0
1767731849796849,83.0,16.0,84.0,17.0
1767731851855444,83.0,15.0,85.0,17.0
1767731851926118,84.0,15.0,85.0,16.0
1767731851933164,84.0,14.0,86.0,16.0
1767731852057298,84.0,13.0,87.0,16.0
1767731852164939,84.0,11.0,89.0,16.0
1767731852191930,85.0,11.0,89.0,15.0
1767731852402075,86.0,11.0,89.0,14.0
1767731853179933,87.0,11.0,89.0,13.0
1767731853281071,88.0,11.0,89.0,12.0
1767731855123693,86.0,11.0,89.0,14.0
1767731855123693,87.0,11.0,89.0,13.0
1767731855267645,87.0,12.0,88.0,13.0
1767731857138102,86.0,12.0,88.0,14.0
1767731857138102,86.0,13.0,87.0,14.0
1767731862108055,86.0,12.0,88.0,14.0
1767731862551542,87.0,12.0,88.0,13.0
1767731869481750,86.0,12.0,88.0,14.0
1767731869591421,86.0,13.0,87.0,14.0
1767731873907481,86.0,12.0,88.0,14.0
1767731875023759,87.0,12.0,88.0,13.0
1767731888927297,86.0,12.0,88.0,14.0
1767731888927297,86.0,13.0,87.0,14.0
1767731893109089,86.0,12.0,88.0,14.0
1767731893499030,87.0,12.0,88.0,13.0
1767731894366649,85.0,12.0,88.0,15.0
1767731894366649,85.0,13.0,87.0,15.0
1767731895585028,85.0,12.0,88.0,15.0
1767731895636959,85.0,10.0,90.0,15.0
